Momentum transfer,Attenuated intensity
1.00382,0.288971
1.02911,0.429108
1.06802,0.599909
1.11666,0.818884
1.16531,0.998454
1.21590,1.17803
1.27623,1.36637
1.33267,1.53719
1.40665,1.70366
1.47867,1.85699
1.54097,1.98841
1.59937,2.10670
1.67725,2.22501
1.75516,2.20322
1.85061,2.16393
1.94995,2.12027
2.06293,2.07663
2.19343,2.03301
2.27718,2.01998
2.39211,1.99386
2.57325,1.95030
2.77582,1.91553
2.92190,1.88506
3.11279,1.85465
3.27834,1.83735
3.43806,1.80252
3.60362,1.78959
3.78671,1.76355
3.95421,1.75063
4.05939,1.73762
4.11978,1.71581
4.22891,1.44011
4.32246,1.19943
4.39458,0.998115
4.49788,0.687387
